Unnamed: 0,year,country_code,valuenormal,valueoffensive,valuehate,valueNegative,valueNeutral,valuePositive,country,total_unemployment,real_gdp_r,immigration_flow,asylum_applications,total_population,EU_migrant_stock,NonEU_migrant_stock,share_offensive,share_negative,share_positive,asyl_per100k,immigrationflow_per100k,total_migrant_stock,migrant_stock_per100k,nonEU_stock_per100k,iso3n,share_normal,share_hate,share_neutral,lt_unemployment,income,youth_unemployment
71,2019,GB,48579,1296,6832,14741,30357,11609,United Kingdom,3.8,1.399999976158142,680906.0,44315.0,66647112.0,3681859.0,2490089.0,0.0228543213359902,0.2599502706896855,0.2047189941277091,66.492004,1021.6587,6171948.0,9260.6387,3736.2295,826,0.8566667254483573,0.1204789532156523,0.5353307351826053,0.9,33469.0,11.4
72,2019,HU,665,6,41,68,385,259,Hungary,3.3,4.599999904632568,88581.0,470.0,9772756.0,74266.0,106145.0,0.0084269662921348,0.095505617977528,0.3637640449438202,4.809288,906.40759,180411.0,1846.0607,1086.1317,348,0.9339887640449438,0.0575842696629213,0.5407303370786517,1.1,,11.2
73,2019,IT,5170,51,233,465,3191,1798,Italy,10.0,0.4000000059604645,332778.0,35005.0,59816673.0,1500704.0,3494871.0,0.0093509350935093,0.0852585258525852,0.3296662999633297,58.520473,556.32983,4995575.0,8351.4756,5842.6367,380,0.947928126145948,0.0427209387605427,0.5850751741840851,5.7,,29.2
74,2019,NL,3404,44,175,524,2066,1033,Netherlands,3.4000001,2.0,215756.0,22540.0,17282163.0,567724.0,487514.0,0.012144631520839,0.1446315208390836,0.2851228263869721,130.42349,1248.4316,1055238.0,6105.937,2820.9084,528,0.9395528567485508,0.0483025117306099,0.5702456527739442,1.0,,6.7
75,2019,PL,1095,19,49,134,761,268,Poland,3.3,4.699999809265137,226649.0,2765.0,37972812.0,31644.0,257507.0,0.0163370593293207,0.115219260533104,0.230438521066208,7.2815256,596.87177,289151.0,761.46851,678.13519,616,0.9415305245055888,0.0421324161650902,0.6543422184006878,0.7,,9.9
76,2019,SE,1358,38,111,291,859,357,Sweden,6.8000002,2.0,115805.0,23150.0,10230185.0,321964.0,578398.0,0.0252156602521566,0.1930988719309887,0.2368944923689449,226.29112,1131.9932,900362.0,8801.0332,5653.8369,752,0.9011280690112808,0.0736562707365627,0.5700066357000664,1.0,,20.1
77,2020,AT,940,7,28,97,573,305,Austria,6.0,-6.699999809265137,,13415.0,,768597.0,700601.0,0.0071794871794871,0.0994871794871794,0.3128205128205128,,,1469198.0,,,40,0.964102564102564,0.0287179487179487,0.5876923076923077,1.3,,11.7
78,2020,CH,1836,10,43,252,987,650,Switzerland,4.8000002,-2.400000095367432,,9765.0,,1430197.0,742749.0,0.0052938062466913,0.1334039174166225,0.3440974060349391,,,2172946.0,,,756,0.9719428268925356,0.0227633668607728,0.5224986765484383,1.6,,8.6
79,2020,DE,3747,58,252,817,2334,906,Germany,3.8,-4.599999904632568,,102580.0,,4454418.0,5932244.0,0.014296278037959,0.2013803302933202,0.223317722455016,,,10386662.0,,,276,0.9235888587626324,0.0621148631994084,0.5753019472516638,1.1,,7.4
80,2020,ES,2443,46,195,491,1517,676,Spain,15.5,-10.80000019073486,,86385.0,,2019487.0,3205467.0,0.0171385991058122,0.1829359165424739,0.2518628912071535,,,5224954.0,,,724,0.9102086438152012,0.0726527570789866,0.5652011922503726,5.0,,38.3
81,2020,FR,3867,62,230,607,2465,1087,France,8.0,-7.900000095367432,,81735.0,,1590796.0,3546602.0,0.0149074296705938,0.145948545323395,0.2613609040634768,,,5137398.0,,,250,0.9297908150997836,0.0553017552296225,0.5926905506131281,3.0,,21.5
82,2020,GB,55164,1769,8698,19074,35746,10811,United Kingdom,4.9000001,-0.9700000286102296,,,,,,0.0269537261355152,0.2906248571559172,0.1647239871402233,,,,,,826,0.8405174384056315,0.1325288354588532,0.5446511557038595,,29301.0,13.8
